year,serialno,state,puma,wgtp,np,hincp,fincp,adjinc,hht,hht2,noc,npf,fparc,person_count,adult_count,college_age_count,student_enrolled_count,likely_college_student_count,employed_count,reference_person_count,reference_person_student_flag,has_any_likely_college_student,has_any_student,has_any_college_age_person,has_any_employed_person,student_share_of_persons,student_share_of_adults,college_age_share_of_persons,student_heavy_flag_rule_a,student_heavy_flag_rule_b,analysis_weight,hincp_adj_real,student_heavy_flag,hh_comp_key,below_alice_flag,annual_alice_threshold,wgtp_adj
2019,2019HU0182458,17,2100,36,3,29530.0,29530.0,1010145,3.0,6.0,2.0,3.0,1.0,3,1,1,1,1,1,1,1,1,1,1,1,0.3333333333333333,1.0,0.3333333333333333,1,0,36.0,29829.58185,0,1_adult_2plus_child,1,53816.98,
2019,2019HU0193030,17,2100,38,3,35000.0,35000.0,1010145,2.0,10.0,1.0,3.0,1.0,3,2,0,0,0,2,1,0,0,0,0,1,0.0,0.0,0.0,0,0,38.0,35355.075,0,2_adult_1_child,1,54273.58,
2019,2019HU0193205,17,2100,75,1,0.0,,1010145,6.0,5.0,0.0,,,1,1,1,1,1,0,1,1,1,1,1,0,1.0,1.0,1.0,1,1,75.0,0.0,1,1_adult_0_child,1,33838.68,
2019,2019HU0196451,17,2100,111,1,30000.0,,1010145,6.0,5.0,0.0,,,1,1,0,1,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,111.0,30304.35,0,1_adult_0_child,1,33838.68,
2019,2019HU0204298,17,2100,48,2,41200.0,,1010145,5.0,12.0,0.0,,,2,2,0,2,0,2,1,0,0,1,0,1,0.0,0.0,0.0,0,0,48.0,41617.974,0,2_adult_0_child,1,45201.89,
2019,2019HU0207030,17,2100,19,4,39600.0,39600.0,1010145,2.0,10.0,3.0,4.0,2.0,4,1,0,3,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0,0,19.0,40001.742,0,1_adult_2plus_child,1,53816.98,
2019,2019HU0246982,17,2100,129,4,39230.0,,1010145,7.0,8.0,0.0,,,4,4,4,4,4,4,1,1,1,1,1,1,1.0,1.0,1.0,1,0,129.0,39627.98835,0,3plus_adult_0_child,1,55415.09,
2019,2019HU0257598,17,2100,315,4,52000.0,52000.0,1010145,2.0,10.0,2.0,4.0,2.0,4,2,1,3,0,2,1,0,0,1,1,1,0.0,0.0,0.25,0,0,315.0,52527.54,0,2_adult_2plus_child,1,62274.53,
2019,2019HU0261678,17,2100,110,1,16700.0,,1010145,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,110.0,16869.4215,0,1_adult_0_child,1,33838.68,
2019,2019HU0269402,17,2100,89,2,24750.0,,1010145,7.0,8.0,0.0,,,2,2,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,89.0,25001.08875,0,2_adult_0_child,1,45201.89,
2019,2019HU0271244,17,2100,134,4,6200.0,,1010145,7.0,8.0,0.0,,,4,4,4,4,4,0,1,1,1,1,1,0,1.0,1.0,1.0,1,1,134.0,6262.899,1,3plus_adult_0_child,1,55415.09,
2019,2019HU0271832,17,2100,229,1,14000.0,,1010145,4.0,9.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,229.0,14142.03,0,1_adult_0_child,1,33838.68,
2019,2019HU0273973,17,2100,72,1,22000.0,,1010145,4.0,9.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,72.0,22223.19,0,1_adult_0_child,1,33838.68,
2019,2019HU0274688,17,2100,94,2,30200.0,30200.0,1010145,3.0,7.0,0.0,2.0,4.0,2,2,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,94.0,30506.379,0,2_adult_0_child,1,45201.89,
2019,2019HU0274843,17,2100,108,2,18000.0,,1010145,5.0,12.0,0.0,,,2,2,2,2,2,1,1,1,1,1,1,1,1.0,1.0,1.0,1,0,108.0,18182.61,0,2_adult_0_child,1,45201.89,
2019,2019HU0282396,17,2100,181,4,60510.0,60510.0,1010145,1.0,1.0,2.0,4.0,1.0,4,2,0,0,0,2,1,0,0,0,0,1,0.0,0.0,0.0,0,0,181.0,61123.87395,0,2_adult_2plus_child,1,62274.53,
2019,2019HU0300444,17,2100,260,4,15000.0,15000.0,1010145,2.0,3.0,2.0,3.0,3.0,4,2,1,1,0,1,1,0,0,1,1,1,0.0,0.0,0.25,0,0,260.0,15152.175,0,2_adult_2plus_child,1,62274.53,
2019,2019HU0308711,17,2100,231,5,46000.0,24000.0,1010145,3.0,3.0,3.0,4.0,2.0,5,2,0,3,0,2,1,0,0,1,0,1,0.0,0.0,0.0,0,0,231.0,46466.67,0,2_adult_2plus_child,1,62274.53,
2019,2019HU0313506,17,2100,733,4,53000.0,53000.0,1010145,1.0,1.0,2.0,4.0,3.0,4,2,0,2,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,733.0,53537.685,0,2_adult_2plus_child,1,62274.53,
2019,2019HU0316252,17,2100,184,4,52000.0,52000.0,1010145,3.0,6.0,3.0,4.0,2.0,4,1,0,3,0,2,1,0,0,1,0,1,0.0,0.0,0.0,0,0,184.0,52527.54,0,1_adult_2plus_child,1,53816.98,
2019,2019HU0316506,17,2100,128,2,18300.0,18300.0,1010145,1.0,2.0,0.0,2.0,4.0,2,2,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,128.0,18485.6535,0,2_adult_0_child,1,45201.89,
2019,2019HU0319866,17,2100,217,1,0.0,,1010145,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,217.0,0.0,0,1_adult_0_child,1,33838.68,
2019,2019HU0324659,17,2100,93,5,39000.0,39000.0,1010145,1.0,1.0,3.0,5.0,2.0,5,2,0,3,0,2,1,0,0,1,0,1,0.0,0.0,0.0,0,0,93.0,39395.655,0,2_adult_2plus_child,1,62274.53,
2019,2019HU0326882,17,2100,106,1,22000.0,,1010145,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,106.0,22223.19,0,1_adult_0_child,1,33838.68,
2019,2019HU0332192,17,2100,65,1,9100.0,,1010145,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,65.0,9192.3195,0,1_adult_0_child,1,33838.68,
2019,2019HU0335591,17,2100,41,4,50.0,,1010145,7.0,8.0,0.0,,,4,4,4,4,4,1,1,1,1,1,1,1,1.0,1.0,1.0,1,0,41.0,50.50725,0,3plus_adult_0_child,1,55415.09,
2019,2019HU0343768,17,2100,106,3,19700.0,,1010145,7.0,8.0,0.0,,,3,3,3,3,3,2,1,1,1,1,1,1,1.0,1.0,1.0,1,0,106.0,19899.8565,0,3plus_adult_0_child,1,55415.09,
2019,2019HU0343877,17,2100,51,2,38300.0,,1010145,5.0,4.0,0.0,,,2,2,0,1,0,2,1,0,0,1,0,1,0.0,0.0,0.0,0,0,51.0,38688.5535,0,2_adult_0_child,1,45201.89,
2019,2019HU0345686,17,2100,547,4,24000.0,24000.0,1010145,3.0,6.0,3.0,4.0,3.0,4,1,0,1,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,547.0,24243.48,0,1_adult_2plus_child,1,53816.98,
2019,2019HU0348178,17,2100,16,3,24000.0,15000.0,1010145,3.0,6.0,1.0,2.0,1.0,3,2,1,0,0,2,1,0,0,0,1,1,0.0,0.0,0.3333333333333333,0,0,16.0,24243.48,0,2_adult_1_child,1,54273.58,
2019,2019HU0349905,17,2100,58,1,32000.0,,1010145,4.0,9.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,58.0,32324.64,0,1_adult_0_child,1,33838.68,
2019,2019HU0356383,17,2100,15,5,15000.0,10000.0,1010145,3.0,3.0,3.0,4.0,3.0,5,2,0,2,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,15.0,15152.175,0,2_adult_2plus_child,1,62274.53,
2019,2019HU0364420,17,2100,25,4,60000.0,60000.0,1010145,1.0,1.0,2.0,4.0,3.0,4,2,0,2,0,2,1,0,0,1,0,1,0.0,0.0,0.0,0,0,25.0,60608.7,0,2_adult_2plus_child,1,62274.53,
2019,2019HU0365734,17,2100,209,2,14200.0,14200.0,1010145,3.0,7.0,0.0,2.0,4.0,2,2,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,209.0,14344.059,0,2_adult_0_child,1,45201.89,
2019,2019HU0371356,17,2100,952,1,17400.0,,1010145,6.0,5.0,0.0,,,1,1,1,0,0,0,1,0,0,0,1,0,0.0,0.0,1.0,0,0,952.0,17576.523,0,1_adult_0_child,1,33838.68,
2019,2019HU0377176,17,2100,89,1,12000.0,,1010145,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,89.0,12121.74,0,1_adult_0_child,1,33838.68,
2019,2019HU0382469,17,2100,160,1,30000.0,,1010145,6.0,5.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,160.0,30304.35,0,1_adult_0_child,1,33838.68,
2019,2019HU0382640,17,2100,33,2,40100.0,,1010145,7.0,4.0,0.0,,,2,2,0,0,0,2,1,0,0,0,0,1,0.0,0.0,0.0,0,0,33.0,40506.8145,0,2_adult_0_child,1,45201.89,
2019,2019HU0383518,17,2100,12,1,23000.0,,1010145,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,12.0,23233.335,0,1_adult_0_child,1,33838.68,
2019,2019HU0385333,17,2100,187,4,51500.0,,1010145,7.0,8.0,0.0,,,4,4,4,2,2,3,1,1,1,1,1,1,0.5,0.5,1.0,1,0,187.0,52022.4675,0,3plus_adult_0_child,1,55415.09,
2019,2019HU0402330,17,2100,18,1,23400.0,,1010145,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,18.0,23637.393,0,1_adult_0_child,1,33838.68,
2019,2019HU0404891,17,2100,82,5,48400.0,33400.0,1010145,2.0,3.0,3.0,4.0,2.0,5,2,0,3,0,2,1,0,0,1,0,1,0.0,0.0,0.0,0,0,82.0,48891.018,0,2_adult_2plus_child,1,62274.53,
2019,2019HU0409512,17,2100,54,1,15600.0,,1010145,4.0,9.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,54.0,15758.262,0,1_adult_0_child,1,33838.68,
2019,2019HU0417411,17,2100,79,1,25000.0,,1010145,4.0,9.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,79.0,25253.625,0,1_adult_0_child,1,33838.68,
2019,2019HU0426004,17,2100,110,2,33900.0,33900.0,1010145,1.0,2.0,0.0,2.0,4.0,2,2,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,110.0,34243.9155,0,2_adult_0_child,1,45201.89,
2019,2019HU0426325,17,2100,153,1,33000.0,,1010145,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,153.0,33334.785,0,1_adult_0_child,1,33838.68,
2019,2019HU0434013,17,2100,88,3,25000.0,25000.0,1010145,1.0,1.0,1.0,3.0,1.0,3,2,0,1,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,88.0,25253.625,0,2_adult_1_child,1,54273.58,
2019,2019HU0435276,17,2100,70,1,7050.0,,1010145,4.0,9.0,0.0,,,1,1,1,1,1,0,1,1,1,1,1,0,1.0,1.0,1.0,1,1,70.0,7121.52225,1,1_adult_0_child,1,33838.68,
2019,2019HU0439800,17,2100,61,1,7500.0,,1010145,6.0,5.0,0.0,,,1,1,0,1,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,61.0,7576.0875,0,1_adult_0_child,1,33838.68,
2019,2019HU0445897,17,2100,109,2,16000.0,16000.0,1010145,1.0,2.0,0.0,2.0,4.0,2,2,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,109.0,16162.32,0,2_adult_0_child,1,45201.89,
2019,2019HU0460568,17,2100,33,1,27820.0,,1010145,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,33.0,28102.2339,0,1_adult_0_child,1,33838.68,
2019,2019HU0464330,17,2100,107,2,6800.0,,1010145,5.0,12.0,0.0,,,2,2,2,2,2,1,1,1,1,1,1,1,1.0,1.0,1.0,1,0,107.0,6868.986,0,2_adult_0_child,1,45201.89,
2019,2019HU0468358,17,2100,82,3,12400.0,,1010145,5.0,12.0,0.0,,,3,3,3,3,3,3,1,1,1,1,1,1,1.0,1.0,1.0,1,0,82.0,12525.798,0,3plus_adult_0_child,1,55415.09,
2019,2019HU0468954,17,2100,27,3,51000.0,51000.0,1010145,1.0,1.0,1.0,3.0,2.0,3,2,0,1,0,2,1,0,0,1,0,1,0.0,0.0,0.0,0,0,27.0,51517.395,0,2_adult_1_child,1,54273.58,
2019,2019HU0468996,17,2100,116,1,8100.0,,1010145,4.0,9.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,116.0,8182.1745,0,1_adult_0_child,1,33838.68,
2019,2019HU0469097,17,2100,136,1,24000.0,,1010145,6.0,5.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,136.0,24243.48,0,1_adult_0_child,1,33838.68,
2019,2019HU0471315,17,2100,177,1,20200.0,,1010145,6.0,5.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,177.0,20404.929,0,1_adult_0_child,1,33838.68,
2019,2019HU0477077,17,2100,201,1,26000.0,,1010145,6.0,5.0,0.0,,,1,1,1,0,0,1,1,0,0,0,1,1,0.0,0.0,1.0,0,0,201.0,26263.77,0,1_adult_0_child,1,33838.68,
2019,2019HU0490726,17,2100,22,3,45000.0,45000.0,1010145,3.0,6.0,2.0,3.0,2.0,3,1,0,2,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,22.0,45456.525,0,1_adult_2plus_child,1,53816.98,
2019,2019HU0494758,17,2100,54,2,39400.0,39400.0,1010145,1.0,2.0,0.0,2.0,4.0,2,2,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,54.0,39799.713,0,2_adult_0_child,1,45201.89,
2019,2019HU0496229,17,2100,15,4,48000.0,48000.0,1010145,1.0,1.0,2.0,4.0,2.0,4,2,0,2,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,15.0,48486.96,0,2_adult_2plus_child,1,62274.53,
2019,2019HU0501348,17,2100,72,2,26000.0,,1010145,5.0,12.0,0.0,,,2,2,2,2,2,0,1,1,1,1,1,0,1.0,1.0,1.0,1,1,72.0,26263.77,1,2_adult_0_child,1,45201.89,
2019,2019HU0505603,17,2100,105,1,32000.0,,1010145,4.0,9.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,105.0,32324.64,0,1_adult_0_child,1,33838.68,
2019,2019HU0515460,17,2100,59,2,37800.0,37800.0,1010145,3.0,7.0,0.0,2.0,4.0,2,2,1,0,0,1,1,0,0,0,1,1,0.0,0.0,0.5,0,0,59.0,38183.481,0,2_adult_0_child,1,45201.89,
2019,2019HU0516245,17,2100,77,2,1100.0,1100.0,1010145,2.0,11.0,0.0,2.0,4.0,2,2,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,1,0,77.0,1111.1595,0,2_adult_0_child,1,45201.89,
2019,2019HU0518096,17,2100,18,1,28600.0,,1010145,6.0,5.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,18.0,28890.147,0,1_adult_0_child,1,33838.68,
2019,2019HU0519784,17,2100,142,4,28700.0,28700.0,1010145,3.0,6.0,2.0,4.0,2.0,4,2,0,2,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,142.0,28991.1615,0,2_adult_2plus_child,1,62274.53,
2019,2019HU0526838,17,2100,157,2,36200.0,36200.0,1010145,3.0,7.0,0.0,2.0,4.0,2,2,2,2,2,2,1,1,1,1,1,1,1.0,1.0,1.0,1,0,157.0,36567.249,0,2_adult_0_child,1,45201.89,
2019,2019HU0527968,17,2100,151,1,6200.0,,1010145,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,151.0,6262.899,0,1_adult_0_child,1,33838.68,
2019,2019HU0533661,17,2100,88,1,0.0,,1010145,4.0,9.0,0.0,,,1,1,1,1,1,0,1,1,1,1,1,0,1.0,1.0,1.0,1,1,88.0,0.0,1,1_adult_0_child,1,33838.68,
2019,2019HU0534381,17,2100,29,2,21300.0,21300.0,1010145,1.0,2.0,0.0,2.0,4.0,2,2,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,29.0,21516.0885,0,2_adult_0_child,1,45201.89,
2019,2019HU0537145,17,2100,95,1,16100.0,,1010145,4.0,9.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,95.0,16263.3345,0,1_adult_0_child,1,33838.68,
2019,2019HU0538422,17,2100,106,1,12000.0,,1010145,6.0,5.0,0.0,,,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1,0,106.0,12121.74,0,1_adult_0_child,1,33838.68,
2019,2019HU0538425,17,2100,82,2,40000.0,40000.0,1010145,1.0,2.0,0.0,2.0,4.0,2,2,0,0,0,2,1,0,0,0,0,1,0.0,0.0,0.0,0,0,82.0,40405.8,0,2_adult_0_child,1,45201.89,
2019,2019HU0541324,17,2100,305,1,10000.0,,1010145,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,305.0,10101.45,0,1_adult_0_child,1,33838.68,
2019,2019HU0546166,17,2100,138,1,19700.0,,1010145,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,138.0,19899.8565,0,1_adult_0_child,1,33838.68,
2019,2019HU0548876,17,2100,11,1,15900.0,,1010145,4.0,9.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,11.0,16061.3055,0,1_adult_0_child,1,33838.68,
2019,2019HU0579848,17,2100,53,1,14400.0,,1010145,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,53.0,14546.088,0,1_adult_0_child,1,33838.68,
2019,2019HU0581843,17,2100,51,1,15000.0,,1010145,4.0,9.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,51.0,15152.175,0,1_adult_0_child,1,33838.68,
2019,2019HU0587469,17,2100,20,1,2300.0,,1010145,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,20.0,2323.3335,0,1_adult_0_child,1,33838.68,
2019,2019HU0591393,17,2100,338,1,0.0,,1010145,6.0,5.0,0.0,,,1,1,1,1,1,0,1,1,1,1,1,0,1.0,1.0,1.0,1,1,338.0,0.0,1,1_adult_0_child,1,33838.68,
