serialno,state,puma,wgtp,np,hincp,fincp,adjinc,hht,hht2,noc,npf,fparc,person_count,adult_count,college_age_count,student_enrolled_count,likely_college_student_count,employed_count,reference_person_count,reference_person_student_flag,has_any_likely_college_student,has_any_student,has_any_college_age_person,has_any_employed_person,student_share_of_persons,student_share_of_adults,college_age_share_of_persons,student_heavy_flag_rule_a,student_heavy_flag_rule_b,wgtp_adj,analysis_weight,hincp_adj_real,student_heavy_flag,hh_comp_key,below_alice_flag,annual_alice_threshold
2023HU0096664,17,1902,55,1,1800.0,,1019518,4.0,9.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,11.798435,11.798435,1835.1324,0,1_adult_0_child,1,33348.0
2023HU0097766,17,1901,71,1,3330.0,,1019518,6.0,5.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,71.0,71.0,3394.99494,0,1_adult_0_child,1,33348.0
2023HU0100655,17,1902,122,2,42200.0,42200.0,1019518,1.0,2.0,0.0,2.0,4.0,2,2,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,26.171074,26.171074,43023.6596,0,2_adult_0_child,1,46488.0
2023HU0103568,17,1902,44,4,70000.0,70000.0,1019518,1.0,1.0,2.0,4.0,3.0,4,2,0,2,0,2,1,0,0,1,0,1,0.0,0.0,0.0,0,0,9.438748,9.438748,71366.26,0,2_adult_2plus_child,1,72012.0
2023HU0103779,17,1902,62,1,13700.0,,1019518,4.0,9.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,13.300054,13.300054,13967.3966,0,1_adult_0_child,1,33348.0
2023HU0109823,17,1902,149,1,27000.0,,1019518,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,31.963033,31.963033,27526.986,0,1_adult_0_child,1,33348.0
2023HU0110922,17,1901,48,4,27200.0,,1019518,5.0,12.0,0.0,,,4,4,3,4,3,4,1,1,1,1,1,1,0.75,0.75,0.75,1,0,48.0,48.0,27730.8896,0,3plus_adult_0_child,1,64080.0
2023HU0114268,17,1901,34,2,16000.0,16000.0,1019518,3.0,6.0,1.0,2.0,1.0,2,1,1,0,0,1,1,0,0,0,1,1,0.0,0.0,0.5,0,0,34.0,34.0,16312.288,0,1_adult_1_child,1,45888.0
2023HU0116627,17,1901,124,4,31500.0,,1019518,5.0,12.0,0.0,,,4,4,4,4,4,4,1,1,1,1,1,1,1.0,1.0,1.0,1,0,124.0,124.0,32114.817,0,3plus_adult_0_child,1,64080.0
2023HU0116832,17,1902,60,6,0.0,0.0,1019518,3.0,6.0,5.0,6.0,2.0,6,1,0,5,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0,0,12.87102,12.87102,0.0,0,1_adult_2plus_child,1,62232.0
2023HU0120979,17,1902,67,7,12530.0,12530.0,1019518,3.0,6.0,5.0,7.0,3.0,7,1,0,3,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,14.372639,14.372639,12774.56054,0,1_adult_2plus_child,1,62232.0
2023HU0124818,17,1902,42,1,10400.0,,1019518,4.0,9.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,9.009714,9.009714,10602.9872,0,1_adult_0_child,1,33348.0
2023HU0125477,17,1902,12,2,43900.0,,1019518,7.0,4.0,0.0,,,2,2,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,2.574204,2.574204,44756.8402,0,2_adult_0_child,1,46488.0
2023HU0126931,17,1901,173,1,5000.0,,1019518,4.0,9.0,0.0,,,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1,0,173.0,173.0,5097.59,0,1_adult_0_child,1,33348.0
2023HU0127301,17,1902,64,7,32100.0,32100.0,1019518,3.0,6.0,2.0,7.0,3.0,7,2,1,4,0,0,1,0,0,1,1,0,0.0,0.0,0.14285714285714285,0,0,13.729088,13.729088,32726.5278,0,2_adult_2plus_child,1,72012.0
2023HU0130556,17,1902,55,4,40000.0,40000.0,1019518,1.0,1.0,2.0,4.0,3.0,4,2,0,0,0,2,1,0,0,0,0,1,0.0,0.0,0.0,0,0,11.798435,11.798435,40780.72,0,2_adult_2plus_child,1,72012.0
2023HU0132893,17,1902,76,1,20000.0,,1019518,6.0,5.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,16.303292,16.303292,20390.36,0,1_adult_0_child,1,33348.0
2023HU0134344,17,1901,188,2,44000.0,44000.0,1019518,3.0,6.0,1.0,2.0,2.0,2,1,0,1,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,188.0,188.0,44858.792,0,1_adult_1_child,1,45888.0
2023HU0135187,17,1902,227,4,40000.0,0.0,1019518,2.0,3.0,2.0,3.0,1.0,4,2,1,0,0,1,1,0,0,0,1,1,0.0,0.0,0.25,0,0,48.695359,48.695359,40780.72,0,2_adult_2plus_child,1,72012.0
2023HU0137663,17,1902,14,1,30700.0,,1019518,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,3.003238,3.003238,31299.2026,0,1_adult_0_child,1,33348.0
2023HU0138556,17,1902,61,1,15000.0,,1019518,6.0,5.0,0.0,,,1,1,1,0,0,1,1,0,0,0,1,1,0.0,0.0,1.0,0,0,13.085537,13.085537,15292.77,0,1_adult_0_child,1,33348.0
2023HU0143480,17,1902,110,4,7200.0,7200.0,1019518,3.0,6.0,3.0,4.0,2.0,4,1,0,3,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,23.59687,23.59687,7340.5296,0,1_adult_2plus_child,1,62232.0
2023HU0147992,17,1902,41,1,30000.0,,1019518,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,8.795197,8.795197,30585.54,0,1_adult_0_child,1,33348.0
2023HU0150206,17,1901,79,3,47400.0,47400.0,1019518,3.0,6.0,2.0,3.0,2.0,3,1,0,2,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,79.0,79.0,48325.1532,0,1_adult_2plus_child,1,62232.0
2023HU0150682,17,1902,203,1,17600.0,,1019518,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,43.546951,43.546951,17943.5168,0,1_adult_0_child,1,33348.0
2023HU0152007,17,1902,13,1,18000.0,,1019518,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,2.788721,2.788721,18351.324,0,1_adult_0_child,1,33348.0
2023HU0155652,17,1901,58,1,1800.0,,1019518,6.0,5.0,0.0,,,1,1,1,1,1,0,1,1,1,1,1,0,1.0,1.0,1.0,1,1,58.0,58.0,1835.1324,1,1_adult_0_child,1,33348.0
2023HU0156873,17,1901,206,1,2500.0,,1019518,4.0,9.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,206.0,206.0,2548.795,0,1_adult_0_child,1,33348.0
2023HU0157922,17,1902,7,1,30000.0,,1019518,6.0,5.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,1.501619,1.501619,30585.54,0,1_adult_0_child,1,33348.0
2023HU0158459,17,1902,17,1,23000.0,,1019518,4.0,9.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,3.646789,3.646789,23448.914,0,1_adult_0_child,1,33348.0
2023HU0159545,17,1902,20,3,19500.0,19500.0,1019518,1.0,1.0,1.0,3.0,2.0,3,2,0,1,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,4.29034,4.29034,19880.601,0,2_adult_1_child,1,62760.0
2023HU0160757,17,1901,53,1,32600.0,,1019518,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,53.0,53.0,33236.2868,0,1_adult_0_child,1,33348.0
2023HU0162451,17,1901,74,1,15000.0,,1019518,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,74.0,74.0,15292.77,0,1_adult_0_child,1,33348.0
2023HU0162681,17,1902,15,1,0.0,,1019518,4.0,9.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,3.217755,3.217755,0.0,0,1_adult_0_child,1,33348.0
2023HU0165703,17,1901,19,2,43300.0,43300.0,1019518,1.0,2.0,0.0,2.0,4.0,2,2,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,19.0,19.0,44145.1294,0,2_adult_0_child,1,46488.0
2023HU0167133,17,1901,58,2,39000.0,39000.0,1019518,3.0,7.0,0.0,2.0,4.0,2,2,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,58.0,58.0,39761.202,0,2_adult_0_child,1,46488.0
2023HU0170687,17,1901,437,4,70000.0,70000.0,1019518,3.0,3.0,2.0,3.0,3.0,4,2,0,1,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,437.0,437.0,71366.26,0,2_adult_2plus_child,1,72012.0
2023HU0171659,17,1902,13,1,14200.0,,1019518,4.0,9.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,2.788721,2.788721,14477.1556,0,1_adult_0_child,1,33348.0
2023HU0172575,17,1901,168,2,22500.0,,1019518,5.0,4.0,0.0,,,2,2,1,1,0,1,1,0,0,1,1,1,0.0,0.0,0.5,0,0,168.0,168.0,22939.155,0,2_adult_0_child,1,46488.0
2023HU0173351,17,1902,112,4,48000.0,48000.0,1019518,1.0,1.0,1.0,4.0,2.0,4,3,1,2,1,2,1,0,1,1,1,1,0.25,0.3333333333333333,0.25,0,0,24.025904,24.025904,48936.864,0,3plus_adult_1plus_child,1,73296.0
2023HU0176269,17,1902,67,2,17500.0,17500.0,1019518,1.0,2.0,0.0,2.0,4.0,2,2,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,14.372639,14.372639,17841.565,0,2_adult_0_child,1,46488.0
2023HU0178642,17,1902,108,1,0.0,,1019518,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,23.167836,23.167836,0.0,0,1_adult_0_child,1,33348.0
2023HU0179634,17,1902,99,2,39600.0,39600.0,1019518,1.0,2.0,0.0,2.0,4.0,2,2,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,21.237183,21.237183,40372.9128,0,2_adult_0_child,1,46488.0
2023HU0184449,17,1902,14,2,12980.0,12980.0,1019518,3.0,7.0,0.0,2.0,4.0,2,2,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,3.003238,3.003238,13233.34364,0,2_adult_0_child,1,46488.0
2023HU0186214,17,1902,22,1,31700.0,,1019518,4.0,9.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,4.719374,4.719374,32318.7206,0,1_adult_0_child,1,33348.0
2023HU0188024,17,1902,67,2,38000.0,38000.0,1019518,3.0,7.0,0.0,2.0,4.0,2,2,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,14.372639,14.372639,38741.684,0,2_adult_0_child,1,46488.0
2023HU0189826,17,1901,85,1,12000.0,,1019518,4.0,9.0,0.0,,,1,1,0,1,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,85.0,85.0,12234.216,0,1_adult_0_child,1,33348.0
2023HU0191840,17,1902,148,1,11100.0,,1019518,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,31.748516,31.748516,11316.6498,0,1_adult_0_child,1,33348.0
2023HU0192849,17,1902,18,4,42000.0,42000.0,1019518,1.0,1.0,2.0,4.0,2.0,4,2,0,2,0,2,1,0,0,1,0,1,0.0,0.0,0.0,0,0,3.861306,3.861306,42819.756,0,2_adult_2plus_child,1,72012.0
2023HU0193909,17,1902,21,2,34460.0,34460.0,1019518,3.0,7.0,0.0,2.0,4.0,2,2,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,4.504857,4.504857,35132.59028,0,2_adult_0_child,1,46488.0
2023HU0199299,17,1902,17,2,43600.0,43600.0,1019518,1.0,2.0,0.0,2.0,4.0,2,2,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,3.646789,3.646789,44450.9848,0,2_adult_0_child,1,46488.0
2023HU0199823,17,1901,68,1,26000.0,,1019518,4.0,9.0,0.0,,,1,1,0,1,0,1,1,0,0,1,0,1,0.0,0.0,0.0,0,0,68.0,68.0,26507.468,0,1_adult_0_child,1,33348.0
2023HU0200062,17,1902,51,2,10800.0,10800.0,1019518,1.0,2.0,0.0,2.0,4.0,2,2,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,10.940367,10.940367,11010.7944,0,2_adult_0_child,1,46488.0
2023HU0200527,17,1902,11,4,52000.0,52000.0,1019518,3.0,6.0,2.0,4.0,2.0,4,2,1,3,1,3,1,0,1,1,1,1,0.25,0.5,0.25,1,0,2.359687,2.359687,53014.936,0,2_adult_2plus_child,1,72012.0
2023HU0202025,17,1902,30,2,34900.0,34900.0,1019518,3.0,7.0,0.0,2.0,4.0,2,2,1,0,0,0,1,0,0,0,1,0,0.0,0.0,0.5,0,0,6.43551,6.43551,35581.1782,0,2_adult_0_child,1,46488.0
2023HU0202304,17,1901,99,1,31500.0,,1019518,4.0,9.0,0.0,,,1,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,99.0,99.0,32114.817,0,1_adult_0_child,1,33348.0
2023HU0204114,17,1902,71,2,7100.0,7100.0,1019518,3.0,6.0,1.0,2.0,2.0,2,1,0,1,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0,0,15.230707,15.230707,7238.5778,0,1_adult_1_child,1,45888.0
2023HU0206924,17,1901,55,3,14000.0,,1019518,7.0,8.0,0.0,,,3,3,3,3,3,3,1,1,1,1,1,1,1.0,1.0,1.0,1,0,55.0,55.0,14273.252,0,3plus_adult_0_child,1,64080.0
2023HU0207123,17,1902,46,2,7000.0,7000.0,1019518,1.0,2.0,0.0,2.0,4.0,2,2,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,9.867782,9.867782,7136.626,0,2_adult_0_child,1,46488.0
2023HU0212284,17,1902,9,1,13600.0,,1019518,4.0,9.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,1.930653,1.930653,13865.4448,0,1_adult_0_child,1,33348.0
2023HU0213848,17,1902,84,1,1600.0,,1019518,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,18.019428,18.019428,1631.2288,0,1_adult_0_child,1,33348.0
2023HU0216508,17,1901,173,1,21700.0,,1019518,6.0,5.0,0.0,,,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1,0,173.0,173.0,22123.5406,0,1_adult_0_child,1,33348.0
2023HU0218181,17,1902,93,2,0.0,0.0,1019518,3.0,6.0,1.0,2.0,2.0,2,1,0,1,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0,0,19.950081,19.950081,0.0,0,1_adult_1_child,1,45888.0
2023HU0219581,17,1902,79,1,24100.0,,1019518,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,16.946843,16.946843,24570.3838,0,1_adult_0_child,1,33348.0
2023HU0222127,17,1901,132,1,18000.0,,1019518,4.0,9.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,132.0,132.0,18351.324,0,1_adult_0_child,1,33348.0
2023HU0222747,17,1902,10,2,40500.0,,1019518,5.0,4.0,0.0,,,2,2,0,0,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0,0,2.14517,2.14517,41290.479,0,2_adult_0_child,1,46488.0
2023HU0223086,17,1901,65,1,13600.0,,1019518,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,65.0,65.0,13865.4448,0,1_adult_0_child,1,33348.0
2023HU0229168,17,1902,20,1,23600.0,,1019518,6.0,5.0,0.0,,,1,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,4.29034,4.29034,24060.6248,0,1_adult_0_child,1,33348.0
